term_id;term_type;term_code;term_label;term_desc
900000;badge;expertise-in-postvac;Expertise in PostVac;
900001;accessibility;es-gibt-parkplaetze-direkt-vor-oder-sehr-nahe-der-praxis;Es gibt Parkplätze direkt vor oder sehr nahe der Praxis;
900002;badge;arbeitet-mit-imd;Arbeitet mit IMD;
900003;accessibility;step-free-access;Die Praxis ist stufenlos erreichbar;
900004;accessibility;bietet-telefontermine-an;Bietet Telefontermine an;
900005;accessibility;bietet-videosprechstunde-an;Bietet Videosprechstunde an;
900006;badge;behandelt-auch-kinder;Behandelt auch Kinder;
900007;accessibility;air-conditioning;Praxis hat eine Klimaanlage;
900008;badge;macht-keine-me-cfs-diagnostik;Macht keine ME/CFS-Diagnostik;
900009;badge;verordnet-keine-off-label-medikamente;Verordnet KEINE Off-label-Medikamente;
900010;accessibility;es-gibt-in-der-praxis-moeglichkeiten-sich-hinzulegen;Es gibt in der Praxis Möglichkeiten, sich hinzulegen;
