Oberbegriff	ID_Oberbegriff	konkretes_Treatment	ID_konkret	Strukturebene	Typ_konkret	Unterkategorie_konkret	Begründung	geplante_Aliasrichtung
Labordiagnostik	292	Bluttests	186	1 – Oberbegriff → Untergruppe/Verfahren	Diagnostik	Labordiagnostik	klarer Unterbereich der Labordiagnostik	Labordiagnostik → Bluttests
Labordiagnostik	292	Immunologische Diagnostik	412	1 – Oberbegriff → Untergruppe/Verfahren	Diagnostik	Labordiagnostik	klarer spezialisierter Laborbereich	Labordiagnostik → Immunologische Diagnostik
Labordiagnostik	292	Labordiagnostik entzündlicher Marker	293	1 – Oberbegriff → Untergruppe/Verfahren	Diagnostik	Labordiagnostik	klarer spezialisierter Laborbereich	Labordiagnostik → Labordiagnostik entzündlicher Marker
Labordiagnostik	292	Stuhldiagnostik	370	1 – Oberbegriff → Untergruppe/Verfahren	Diagnostik	Labordiagnostik	laborbasierte Untersuchung von Stuhlproben	Labordiagnostik → Stuhldiagnostik
Labordiagnostik	292	Urinstatus	382	1 – Oberbegriff → Untergruppe/Verfahren	Diagnostik	Labordiagnostik	laborbasierte Untersuchung von Urin	Labordiagnostik → Urinstatus
Labordiagnostik	292	Genetikanalyse	246	1 – Oberbegriff → Untergruppe/Verfahren	Diagnostik	Gewebe- und genetische Diagnostik	laborbasierte molekular-/genetische Diagnostik	Labordiagnostik → Genetikanalyse
Labordiagnostik	292	Mastzellhistologie mit CD117-Färbung	311	1 – Oberbegriff → Untergruppe/Verfahren	Diagnostik	Gewebe- und genetische Diagnostik	histologische und immunhistochemische Labordiagnostik	Labordiagnostik → Mastzellhistologie mit CD117-Färbung
Bluttests	186	Adrenocorticotropes Hormon (ACTH)	162	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Adrenocorticotropes Hormon (ACTH)
Bluttests	186	Antinukleäre Antikörper (ANA)	163	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Antinukleäre Antikörper (ANA)
Bluttests	186	C-reaktives Protein (CRP)	194	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → C-reaktives Protein (CRP)
Bluttests	186	Cardiolipin-Autoantikörper	198	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Cardiolipin-Autoantikörper
Bluttests	186	Cortisol basal	203	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Cortisol basal
Bluttests	186	D-Dimere	206	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → D-Dimere
Bluttests	186	Differenzialblutbild	213	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Differenzialblutbild
Bluttests	186	Ds-DNA-Antikörper	405	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Ds-DNA-Antikörper
Bluttests	186	Elektrolyte	222	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Elektrolyte
Bluttests	186	Epstein-Barr-Nuklearantigen-IgG (EBNA-IgG)	216	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Epstein-Barr-Nuklearantigen-IgG (EBNA-IgG)
Bluttests	186	Epstein-Barr-Virus-Kapsidantigen-IgG (EBV-VCA-IgG)	217	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Epstein-Barr-Virus-Kapsidantigen-IgG (EBV-VCA-IgG)
Bluttests	186	Epstein-Barr-Virus-Kapsidantigen-IgM (EBV-VCA-IgM)	218	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Epstein-Barr-Virus-Kapsidantigen-IgM (EBV-VCA-IgM)
Bluttests	186	Ferritin	238	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Ferritin
Bluttests	186	Fibrinogen	239	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Fibrinogen
Bluttests	186	Folsäure	242	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Folsäure
Bluttests	186	Freies Thyroxin (fT4)	407	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Freies Thyroxin (fT4)
Bluttests	186	GPCR-Autoantikörperuntersuchung	243	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → GPCR-Autoantikörperuntersuchung
Bluttests	186	Gesamt-IgA	247	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Gesamt-IgA
Bluttests	186	Gesamteiweiß	248	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Gesamteiweiß
Bluttests	186	Glucose	249	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Glucose
Bluttests	186	Holotranscobalamin	257	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Holotranscobalamin
Bluttests	186	IgG-Subklassen	267	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → IgG-Subklassen
Bluttests	186	Immunglobuline G, A und M	269	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Immunglobuline G, A und M
Bluttests	186	Interleukin-6	434	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Interleukin-6
Bluttests	186	International Normalized Ratio (INR)	266	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → International Normalized Ratio (INR)
Bluttests	186	Komplementfaktoren C3 und C4	285	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Komplementfaktoren C3 und C4
Bluttests	186	Kreatinin	286	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Kreatinin
Bluttests	186	Kreatinkinase (CK)	189	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Kreatinkinase (CK)
Bluttests	186	Kreatinkinase-MB (CK-MB)	190	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Kreatinkinase-MB (CK-MB)
Bluttests	186	Lymphozyten-Transformationstest	304	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Lymphozyten-Transformationstest
Bluttests	186	Lymphozytensubpopulationen	305	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Lymphozytensubpopulationen
Bluttests	186	Löslicher Interleukin-2-Rezeptor	306	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Löslicher Interleukin-2-Rezeptor
Bluttests	186	Mannosebindendes Lektin (MBL)	307	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Mannosebindendes Lektin (MBL)
Bluttests	186	N-terminales pro-B-Typ natriuretisches Peptid (NT-pro-BNP)	325	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → N-terminales pro-B-Typ natriuretisches Peptid (NT-pro-BNP)
Bluttests	186	Partielle Thromboplastinzeit (pTT)	421	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Partielle Thromboplastinzeit (pTT)
Bluttests	186	SARS-CoV-2-Nukleokapsid-IgG	354	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → SARS-CoV-2-Nukleokapsid-IgG
Bluttests	186	SARS-CoV-2-Spike-IgG	355	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → SARS-CoV-2-Spike-IgG
Bluttests	186	TNF-α	433	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → TNF-α
Bluttests	186	TNF-α & Interleukin-6 (Kombi)	374	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → TNF-α & Interleukin-6 (Kombi)
Bluttests	186	Thyroid-stimulating hormone (TSH)	375	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Thyroid-stimulating hormone (TSH)
Bluttests	186	Transaminasen	378	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Transaminasen
Bluttests	186	Transglutaminase-IgA-Antikörper	379	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Transglutaminase-IgA-Antikörper
Bluttests	186	Troponin I (hochsensitiv)	380	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Troponin I (hochsensitiv)
Bluttests	186	Vitamin B1	392	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Vitamin B1
Bluttests	186	Vitamin B6	393	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → Vitamin B6
Bluttests	186	β2-Glykoprotein-Autoantikörper	183	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete laborbasierte Bestimmung aus einer Blutprobe	Bluttests → β2-Glykoprotein-Autoantikörper
Immunologische Diagnostik	412	Antinukleäre Antikörper (ANA)	163	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Antinukleäre Antikörper (ANA)
Immunologische Diagnostik	412	Cardiolipin-Autoantikörper	198	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Cardiolipin-Autoantikörper
Immunologische Diagnostik	412	Ds-DNA-Antikörper	405	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Ds-DNA-Antikörper
Immunologische Diagnostik	412	Epstein-Barr-Nuklearantigen-IgG (EBNA-IgG)	216	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Epstein-Barr-Nuklearantigen-IgG (EBNA-IgG)
Immunologische Diagnostik	412	Epstein-Barr-Virus-Kapsidantigen-IgG (EBV-VCA-IgG)	217	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Epstein-Barr-Virus-Kapsidantigen-IgG (EBV-VCA-IgG)
Immunologische Diagnostik	412	Epstein-Barr-Virus-Kapsidantigen-IgM (EBV-VCA-IgM)	218	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Epstein-Barr-Virus-Kapsidantigen-IgM (EBV-VCA-IgM)
Immunologische Diagnostik	412	GPCR-Autoantikörperuntersuchung	243	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → GPCR-Autoantikörperuntersuchung
Immunologische Diagnostik	412	Gesamt-IgA	247	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Gesamt-IgA
Immunologische Diagnostik	412	IgG-Subklassen	267	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → IgG-Subklassen
Immunologische Diagnostik	412	Immunglobuline G, A und M	269	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Immunglobuline G, A und M
Immunologische Diagnostik	412	Interleukin-6	434	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Interleukin-6
Immunologische Diagnostik	412	Komplementfaktoren C3 und C4	285	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Komplementfaktoren C3 und C4
Immunologische Diagnostik	412	Lymphozyten-Transformationstest	304	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Lymphozyten-Transformationstest
Immunologische Diagnostik	412	Lymphozytensubpopulationen	305	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Lymphozytensubpopulationen
Immunologische Diagnostik	412	Löslicher Interleukin-2-Rezeptor	306	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Löslicher Interleukin-2-Rezeptor
Immunologische Diagnostik	412	Mannosebindendes Lektin (MBL)	307	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Mannosebindendes Lektin (MBL)
Immunologische Diagnostik	412	SARS-CoV-2-Nukleokapsid-IgG	354	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → SARS-CoV-2-Nukleokapsid-IgG
Immunologische Diagnostik	412	SARS-CoV-2-Spike-IgG	355	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → SARS-CoV-2-Spike-IgG
Immunologische Diagnostik	412	TNF-α	433	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → TNF-α
Immunologische Diagnostik	412	TNF-α & Interleukin-6 (Kombi)	374	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → TNF-α & Interleukin-6 (Kombi)
Immunologische Diagnostik	412	Transglutaminase-IgA-Antikörper	379	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Transglutaminase-IgA-Antikörper
Immunologische Diagnostik	412	β2-Glykoprotein-Autoantikörper	183	2 – Untergruppe → Einzeltest	Diagnostik	Labordiagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → β2-Glykoprotein-Autoantikörper
Immunologische Diagnostik	412	Mastzellhistologie mit CD117-Färbung	311	2 – Untergruppe → Einzeltest	Diagnostik	Gewebe- und genetische Diagnostik	konkrete immunologische, serologische, zelluläre oder immunhistochemische Diagnostik	Immunologische Diagnostik → Mastzellhistologie mit CD117-Färbung
Labordiagnostik entzündlicher Marker	293	C-reaktives Protein (CRP)	194	2 – Untergruppe → Einzelmarker	Diagnostik	Labordiagnostik	etablierter oder gebräuchlicher Entzündungs-/Immunaktivierungsmarker	Labordiagnostik entzündlicher Marker → C-reaktives Protein (CRP)
Labordiagnostik entzündlicher Marker	293	Ferritin	238	2 – Untergruppe → Einzelmarker	Diagnostik	Labordiagnostik	etablierter oder gebräuchlicher Entzündungs-/Immunaktivierungsmarker	Labordiagnostik entzündlicher Marker → Ferritin
Labordiagnostik entzündlicher Marker	293	Fibrinogen	239	2 – Untergruppe → Einzelmarker	Diagnostik	Labordiagnostik	etablierter oder gebräuchlicher Entzündungs-/Immunaktivierungsmarker	Labordiagnostik entzündlicher Marker → Fibrinogen
Labordiagnostik entzündlicher Marker	293	Interleukin-6	434	2 – Untergruppe → Einzelmarker	Diagnostik	Labordiagnostik	etablierter oder gebräuchlicher Entzündungs-/Immunaktivierungsmarker	Labordiagnostik entzündlicher Marker → Interleukin-6
Labordiagnostik entzündlicher Marker	293	Löslicher Interleukin-2-Rezeptor	306	2 – Untergruppe → Einzelmarker	Diagnostik	Labordiagnostik	etablierter oder gebräuchlicher Entzündungs-/Immunaktivierungsmarker	Labordiagnostik entzündlicher Marker → Löslicher Interleukin-2-Rezeptor
Labordiagnostik entzündlicher Marker	293	TNF-α	433	2 – Untergruppe → Einzelmarker	Diagnostik	Labordiagnostik	etablierter oder gebräuchlicher Entzündungs-/Immunaktivierungsmarker	Labordiagnostik entzündlicher Marker → TNF-α
Labordiagnostik entzündlicher Marker	293	TNF-α & Interleukin-6 (Kombi)	374	2 – Untergruppe → Einzelmarker	Diagnostik	Labordiagnostik	etablierter oder gebräuchlicher Entzündungs-/Immunaktivierungsmarker	Labordiagnostik entzündlicher Marker → TNF-α & Interleukin-6 (Kombi)
Kardiologische Diagnostik	281	Elektrokardiogramm (EKG)	220	1 – Oberbegriff → Verfahren/Test	Diagnostik	Funktionsdiagnostik	kardiologisch relevantes Untersuchungs- oder Laborverfahren	Kardiologische Diagnostik → Elektrokardiogramm (EKG)
Kardiologische Diagnostik	281	Ruhe-EKG	425	1 – Oberbegriff → Verfahren/Test	Diagnostik	Funktionsdiagnostik	kardiologisch relevantes Untersuchungs- oder Laborverfahren	Kardiologische Diagnostik → Ruhe-EKG
Kardiologische Diagnostik	281	Belastungs-EKG	404	1 – Oberbegriff → Verfahren/Test	Diagnostik	Funktionsdiagnostik	kardiologisch relevantes Untersuchungs- oder Laborverfahren	Kardiologische Diagnostik → Belastungs-EKG
Kardiologische Diagnostik	281	Echokardiographie	406	1 – Oberbegriff → Verfahren/Test	Diagnostik	Bildgebung	kardiologisch relevantes Untersuchungs- oder Laborverfahren	Kardiologische Diagnostik → Echokardiographie
Kardiologische Diagnostik	281	MRT (Herz)	197	1 – Oberbegriff → Verfahren/Test	Diagnostik	Bildgebung	kardiologisch relevantes Untersuchungs- oder Laborverfahren	Kardiologische Diagnostik → MRT (Herz)
Kardiologische Diagnostik	281	Kardiales 3-Tesla-MRT	280	1 – Oberbegriff → Verfahren/Test	Diagnostik	Bildgebung	kardiologisch relevantes Untersuchungs- oder Laborverfahren	Kardiologische Diagnostik → Kardiales 3-Tesla-MRT
Kardiologische Diagnostik	281	CT (Herz)	196	1 – Oberbegriff → Verfahren/Test	Diagnostik	Bildgebung	kardiologisch relevantes Untersuchungs- oder Laborverfahren	Kardiologische Diagnostik → CT (Herz)
Kardiologische Diagnostik	281	Troponin I (hochsensitiv)	380	1 – Oberbegriff → Verfahren/Test	Diagnostik	Labordiagnostik	kardiologisch relevantes Untersuchungs- oder Laborverfahren	Kardiologische Diagnostik → Troponin I (hochsensitiv)
Kardiologische Diagnostik	281	N-terminales pro-B-Typ natriuretisches Peptid (NT-pro-BNP)	325	1 – Oberbegriff → Verfahren/Test	Diagnostik	Labordiagnostik	kardiologisch relevantes Untersuchungs- oder Laborverfahren	Kardiologische Diagnostik → N-terminales pro-B-Typ natriuretisches Peptid (NT-pro-BNP)
Kardiologische Diagnostik	281	Kreatinkinase-MB (CK-MB)	190	1 – Oberbegriff → Verfahren/Test	Diagnostik	Labordiagnostik	kardiologisch relevantes Untersuchungs- oder Laborverfahren	Kardiologische Diagnostik → Kreatinkinase-MB (CK-MB)
Kardiologische Diagnostik	281	Herzfrequenzvariabilitätsmessung (HRV)	253	1 – Oberbegriff → Verfahren/Test	Diagnostik	Funktionsdiagnostik	kardiologisch relevantes Untersuchungs- oder Laborverfahren	Kardiologische Diagnostik → Herzfrequenzvariabilitätsmessung (HRV)
Kardiologische Diagnostik	281	Kipptischuntersuchung	283	1 – Oberbegriff → Verfahren/Test	Diagnostik	Funktionsdiagnostik	kardiologisch relevantes Untersuchungs- oder Laborverfahren	Kardiologische Diagnostik → Kipptischuntersuchung
Kardiologische Diagnostik	281	Schellong-Test	358	1 – Oberbegriff → Verfahren/Test	Diagnostik	Funktionsdiagnostik	kardiologisch relevantes Untersuchungs- oder Laborverfahren	Kardiologische Diagnostik → Schellong-Test
Kardiologische Diagnostik	281	Passiver Stehtest	343	1 – Oberbegriff → Verfahren/Test	Diagnostik	Funktionsdiagnostik	kardiologisch relevantes Untersuchungs- oder Laborverfahren	Kardiologische Diagnostik → Passiver Stehtest
Autonome Funktionsdiagnostik	402	Kipptischuntersuchung	283	1 – Oberbegriff → Verfahren/Test	Diagnostik	Funktionsdiagnostik	konkretes Verfahren zur Beurteilung autonomer bzw. orthostatischer Regulation	Autonome Funktionsdiagnostik → Kipptischuntersuchung
Autonome Funktionsdiagnostik	402	Schellong-Test	358	1 – Oberbegriff → Verfahren/Test	Diagnostik	Funktionsdiagnostik	konkretes Verfahren zur Beurteilung autonomer bzw. orthostatischer Regulation	Autonome Funktionsdiagnostik → Schellong-Test
Autonome Funktionsdiagnostik	402	Passiver Stehtest	343	1 – Oberbegriff → Verfahren/Test	Diagnostik	Funktionsdiagnostik	konkretes Verfahren zur Beurteilung autonomer bzw. orthostatischer Regulation	Autonome Funktionsdiagnostik → Passiver Stehtest
Autonome Funktionsdiagnostik	402	Herzfrequenzvariabilitätsmessung (HRV)	253	1 – Oberbegriff → Verfahren/Test	Diagnostik	Funktionsdiagnostik	konkretes Verfahren zur Beurteilung autonomer bzw. orthostatischer Regulation	Autonome Funktionsdiagnostik → Herzfrequenzvariabilitätsmessung (HRV)
Stressdiagnostik	368	Cortisol basal	203	1 – Oberbegriff → Verfahren/Test	Diagnostik	Labordiagnostik	konkretes Verfahren zur Erfassung der HPA-Achse oder autonomer Stressregulation	Stressdiagnostik → Cortisol basal
